step,time_s,person_id,x,y,evacuated,heading,risk,dose,conflict,exit_switch
0,0.0,0,42,93,False,,0.0,0.0,,
0,0.0,1,34,59,False,,0.0,0.0,,
0,0.0,2,102,70,False,,0.0,0.0,,
0,0.0,3,5,33,False,,0.0,0.0,,
0,0.0,4,41,91,False,,0.0,0.0,,
0,0.0,5,43,90,False,,0.0,0.0,,
0,0.0,6,33,14,False,,0.0,0.0,,
0,0.0,7,44,40,False,,0.0,0.0,,
0,0.0,8,2,34,False,,0.0,0.0,,
0,0.0,9,35,63,False,,0.0,0.0,,
0,0.0,10,41,40,False,,0.0,0.0,,
0,0.0,11,101,72,False,,0.0,0.0,,
0,0.0,12,32,60,False,,0.0,0.0,,
0,0.0,13,38,13,False,,0.0,0.0,,
0,0.0,14,39,16,False,,0.0,0.0,,
0,0.0,15,19,13,False,,0.0,0.0,,
0,0.0,16,83,77,False,,0.0,0.0,,
0,0.0,17,34,60,False,,0.0,0.0,,
0,0.0,18,82,78,False,,0.0,0.0,,
0,0.0,19,2,31,False,,0.0,0.0,,
0,0.0,20,32,59,False,,0.0,0.0,,
0,0.0,21,41,11,False,,0.0,0.0,,
0,0.0,22,2,33,False,,0.0,0.0,,
0,0.0,23,99,72,False,,0.0,0.0,,
0,0.0,24,1,27,False,,0.0,0.0,,
0,0.0,25,83,75,False,,0.0,0.0,,
0,0.0,26,32,62,False,,0.0,0.0,,
0,0.0,27,18,14,False,,0.0,0.0,,
0,0.0,28,18,14,False,,0.0,0.0,,
0,0.0,29,42,89,False,,0.0,0.0,,
0,0.0,30,43,41,False,,0.0,0.0,,
0,0.0,31,42,92,False,,0.0,0.0,,
0,0.0,32,40,12,False,,0.0,0.0,,
0,0.0,33,42,92,False,,0.0,0.0,,
0,0.0,34,43,90,False,,0.0,0.0,,
0,0.0,35,31,62,False,,0.0,0.0,,
0,0.0,36,6,30,False,,0.0,0.0,,
0,0.0,37,30,62,False,,0.0,0.0,,
0,0.0,38,40,16,False,,0.0,0.0,,
0,0.0,39,4,29,False,,0.0,0.0,,
1,0.5,0,43,92,False,,0.0,0.0,,
1,0.5,1,35,58,False,,0.0,0.0,,
1,0.5,2,101,69,False,,0.0,0.0,,
1,0.5,3,6,34,False,,0.0,0.0,,
1,0.5,4,42,90,False,,0.0,0.0,,
1,0.5,5,43,89,False,,0.0,0.0,,
1,0.5,6,32,15,False,,0.0,0.0,,
1,0.5,7,45,41,False,,0.0,0.0,,
1,0.5,8,2,35,False,,0.0,0.0,,
1,0.5,9,36,62,False,,0.0,0.0,,
1,0.5,10,42,41,False,,0.0,0.0,,
1,0.5,11,100,71,False,,0.0,0.0,,
1,0.5,12,33,59,False,,0.0,0.0,,
1,0.5,13,39,14,False,,0.0,0.0,,
1,0.5,14,40,17,False,,0.0,0.0,,
1,0.5,15,20,14,False,,0.0,0.0,,
1,0.5,16,83,76,False,,0.0,0.0,,
1,0.5,17,35,59,False,,0.0,0.0,,
1,0.5,18,82,77,False,,0.0,0.0,,
1,0.5,19,2,32,False,,0.0,0.0,,
1,0.5,20,33,58,False,,0.0,0.0,,
1,0.5,21,42,12,False,,0.0,0.0,,
1,0.5,22,1,34,False,,0.0,0.0,,
